"RelativePath","Length","LastWriteTime","SHA256"
"backup-CHModernSheet-clarion-installed-20260806-145257.clw","10627","2026-08-06T14:16:12.4285774-04:00","14B59B986AFBD2F05299FDC24CB15023128BCF71E0EE288ADEF405A3D8051502"
"backup-CHModernSheet-compuhost-v4-20260806-145257.clw","10627","2026-08-06T14:16:12.4285774-04:00","14B59B986AFBD2F05299FDC24CB15023128BCF71E0EE288ADEF405A3D8051502"
"BrowseWindow-redesigned-v2.txt","89811","2026-08-02T17:33:59.8678388-04:00","C17317A00E01E6D5E7A305CEBD00EAD69B444F6E3E60D6D44C6D4414E69DE4E4"
"BrowseWindow-redesigned-v3.txt","89341","2026-08-02T17:36:38.1179767-04:00","3728ECCA8380D828CDAD4C8598E8BD1F960B15F77F89ABC74D7211FD2DA641E5"
"BrowseWindow-redesigned-v4.txt","89206","2026-08-02T18:07:28.2912268-04:00","C34DEE8E11E208D0B17AE64B692609BE051F6FF1AFB8198F14251FBB5B2D6C64"
"BrowseWindow-redesigned.txt","89358","2026-08-02T17:28:10.0929230-04:00","F7BA71A30CB7A40F4FE68D78EECCAFB21D0A8990310576A363728B963453E5E9"
"CHModernOption.clw","8323","2026-08-02T12:55:51.8103383-04:00","F97352DF1F3F9B57767A3A7B0881AC99318E6F56B3FBF4CD8197856A9DC65FFC"
"CHModernOption.inc","838","2026-08-02T12:55:51.8571139-04:00","0040D516559382A3AEF60BB08130442A82A93D9C7E3B49C788652AFFA556B6AC"
"CHModernSheet.clw","10696","2026-08-06T15:30:06.0357798-04:00","94CCDEAAE6072514B5F72DAF8C31583944BE09E591FB41099245B1871B24BBB8"
"CHModernSheet.inc","1213","2026-08-02T12:10:13.8037886-04:00","48C644D252A0DC001953EF3DD1AAF120F5B64854B18FA22983525DCEFC23983A"
"CHModernSlider.clw","7004","2026-08-06T14:23:03.5622309-04:00","9ACE4A34B4BD302A84B44B4A81F314596A4DD49769CB633E115A3A330BD8B5C1"
"CHModernSlider.inc","1045","2026-08-06T14:03:15.9037882-04:00","6426CBED44387900F783213AE5F6327FB9D12E49B8C51F6D7A1B133CE0B82DF5"
"CHModernTheme.tpl","43202","2026-08-06T14:03:15.9052961-04:00","9A747DE8F2E1E8EBB5903A738531BA7B76FAB35F5060D68C799305F6D0C99182"
"CHTheme.entry-rounded.stage.cpp","182821","2026-08-03T14:16:46.2814635-04:00","90236B94D0EF879AF410B8D76A8EE0EA574E37C1A1E383323885699446B66765"
